Player,Season,Pos,Age,90s,Gls,Shots,Shot_ontarget,PK,PKatt,xG,npxG,Pass_Cmp,pass_Att,pass_Cmp%,pass_PrgDist,Ast,xAG,xA,Tkl,Tkl_won,Blocks,Int,Touches,Take_ons_Att,Take_ons_Succ,Carries,Carries_PrgDist,PPM,Mins_Played
Alex Oxlade-Chamberlain,20-21,"MF,FW",26,2.8,1,8,4,0,0,0.3,0.3,106,143,74.1,466,1,0.3,0.3,3,2,1,2,182,7,1,99,241,1.54,253
Divock Origi,20-21,FW,25,2.1,0,7,2,0,0,1.1,1.1,47,61,77,78,0,0.2,0.2,0,0,5,1,88,4,0,58,148,1.33,186
Caoimhín Kelleher,20-21,GK,21,2,0,0,0,0,0,0,0,51,64,79.7,668,0,0,0,0,0,0,0,70,0,0,39,75,1.5,180
Kostas Tsimikas,20-21,"DF,FW",24,0.1,0,0,0,0,0,0,0,6,9,66.7,0,0,0,0,0,0,0,0,10,0,0,7,9,1.5,7
Virgil van Dijk,19-20,DF,28,38,5,31,14,0,0,2.9,2.9,2919,3276,89.1,19539,1,1.3,1.5,23,12,20,40,3588,4,3,2484,4594,2.61,"3,420"
Trent Alexander-Arnold,19-20,DF,20,35.3,4,44,13,0,0,2.8,2.8,2278,3230,70.5,16071,13,10.9,9.7,55,34,27,45,3582,51,21,2136,5332,2.61,"3,175"
Georginio Wijnaldum,19-20,MF,28,32.6,4,36,15,0,0,2.6,2.6,1492,1646,90.6,4301,0,0.8,1.6,38,20,18,17,1947,74,41,1410,3045,2.59,"2,935"
Andrew Robertson,19-20,DF,25,34.6,2,22,6,0,0,1.8,1.8,2391,2996,79.8,11408,12,7.5,5.9,54,31,29,38,3296,44,22,2152,6603,2.64,"3,111"
Roberto Firmino,19-20,FW,27,33.2,9,99,38,0,0,14,14,941,1189,79.1,3146,8,6.5,4,37,19,34,7,1558,90,52,1082,2646,2.61,"2,988"
Mohamed Salah,19-20,FW,27,32,19,129,56,3,3,19,16.6,767,1035,74.1,2321,10,7.8,6.9,16,6,3,8,1368,83,50,1037,2722,2.68,"2,876"
Sadio Mané,19-20,FW,27,30.5,18,77,36,0,0,13.2,13.2,923,1170,78.9,3117,7,6.6,5.2,44,32,19,13,1547,110,69,1195,3888,2.57,"2,747"
Alisson,19-20,GK,26,28.3,0,0,0,0,0,0,0,820,947,86.6,12630,1,0.3,0,0,0,0,1,992,0,0,600,1531,2.48,"2,543"
Jordan Henderson,19-20,MF,29,24.9,4,20,8,0,0,1.1,1.1,1593,1933,82.4,7061,5,3.1,3.6,63,41,22,30,2144,28,17,1479,3233,2.77,"2,238"
Fabinho,19-20,MF,25,23.1,2,12,4,0,0,0.4,0.4,1381,1593,86.7,5652,3,1.6,1.4,62,35,25,34,1783,12,9,1137,2323,2.46,"2,079"
Joe Gomez,19-20,DF,22,22.3,0,1,0,0,0,0,0,1766,2015,87.6,10715,0,0.2,0.4,23,16,15,38,2185,11,8,1591,4208,2.64,"2,004"
Alex Oxlade-Chamberlain,19-20,"MF,FW",25,16.5,4,40,10,0,0,2.8,2.8,596,758,78.6,2209,1,1.1,1.5,18,9,26,22,980,49,29,667,1598,2.5,"1,485"
